DEPT,GR,RT,RHO,NPHI
3476.8312,,1905.7963,,
3477.27065,66.703,1357.9215,2.0228,0.51
3477.7101000000002,67.8402,316.3492,2.0496,0.5
3478.14955,69.4049,4.7499,2.0871,0.5
3478.589,69.9586,0.8103,2.105,0.48
3479.0284500000002,69.1138,0.7893,2.1194,0.46
3479.4679,66.9746,0.8838,2.1251,0.46
3479.90735,66.8546,1.0063,2.1126,0.47
3480.3468000000003,69.1254,1.097,2.0908,0.49
3480.78625,71.9084,1.048,2.0861,0.51
3481.2257,72.4078,0.9601,2.0932,0.51
3481.6651500000003,70.5947,0.9345,2.1058,0.52
3482.1046,67.9819,0.9362,2.1084,0.51
3482.54405,65.8095,0.9499,2.1049,0.5
3482.9835000000003,63.9575,0.9638,2.1004,0.49
3483.42295,64.9176,0.9779,2.1003,0.5
3483.8624,70.69,0.9922,2.1018,0.5
3484.3018500000003,75.9231,1.0067,2.1067,0.48
3484.7413,77.567,1.0123,2.111,0.48
3485.18075,76.0273,0.9979,2.1116,0.48
3485.6202000000003,75.1632,0.9836,2.115,0.49
3486.05965,74.3849,0.9696,2.1251,0.49
3486.4991,74.3686,0.9558,2.1341,0.49
3486.93855,76.3224,0.9527,2.1377,0.49
3487.378,78.3269,0.9523,2.1379,0.49
3487.81745,79.0882,0.9519,2.1355,0.48
3488.2569,76.9366,0.9515,2.137,0.49
3488.69635,74.3157,0.9511,2.1405,0.49
3489.1358,71.483,0.9507,2.1479,0.49
3489.57525,68.3207,0.9503,2.1541,0.48
3490.0147,66.5204,0.9499,2.1615,0.47
3490.45415,66.07,0.9495,2.1673,0.45
3490.8936,67.4317,0.9491,2.1691,0.43
3491.33305,68.794,0.9487,2.1758,0.43
3491.7725,70.5468,0.9496,2.1853,0.44
3492.21195,72.2999,0.9514,2.204,0.45
3492.6514,74.2503,0.9532,2.223,0.47
3493.09085,74.629,0.955,2.2348,0.48
3493.5303,74.8146,0.9568,2.2244,0.49
3493.96975,75.392,0.9587,2.2026,0.49
3494.4092,75.4007,0.9605,2.1851,0.49
3494.84865,75.3921,0.9623,2.1795,0.49
3495.2881,74.8082,0.9642,2.1894,0.47
3495.72755,74.3299,0.966,2.2022,0.47
3496.167,73.1223,0.9595,2.2123,0.48
3496.60645,71.9147,0.9496,2.2074,0.49
3497.0459,71.0095,0.9397,2.195,0.49
3497.48535,71.8836,0.93,2.1782,0.47
3497.9248000000002,73.9538,0.9203,2.1652,0.46
3498.36425,76.024,0.9264,2.1575,0.44
3498.8037,78.2717,0.9398,2.1562,0.45
3499.2431500000002,78.8622,0.9534,2.1551,0.46
3499.6826,77.1388,0.9672,2.1518,0.47
3500.12205,75.4881,0.9812,2.1443,0.48
3500.5615000000003,73.664,0.9953,2.1408,0.49
3501.00095,71.8401,1.0085,2.1448,0.49
3501.4404,70.7576,1.0151,2.1521,0.48
3501.8798500000003,70.9192,1.0218,2.1578,0.48
3502.3193,72.0929,1.0285,2.1593,0.49
3502.75875,72.8724,1.0352,2.1641,0.5
3503.1982000000003,72.864,1.042,2.1726,0.5
3503.63765,72.8742,1.0489,2.1855,0.48
3504.0771,74.3938,1.0543,2.1914,0.47
3504.5165500000003,75.5511,1.0438,2.1834,0.45
3504.956,74.9182,1.0404,2.1588,0.45
3505.39545,74.79,1.0399,2.1372,0.46
3505.8349000000003,77.769,1.0265,2.129,0.47
3506.27435,80.6962,1.0123,2.1377,0.48
3506.7138,80.4878,0.9983,2.1525,0.48
3507.1532500000003,79.2313,0.9846,2.1646,0.47
3507.5927,77.1167,0.971,2.1645,0.46
3508.03215,74.7357,0.9576,2.1584,0.47
3508.4716,72.3687,0.9517,2.152,0.49
3508.91105,73.253,0.9512,2.1462,0.49
3509.3505,74.6524,0.9592,2.1438,0.48
3509.78995,75.886,0.9711,2.1411,0.47
3510.2294,75.8772,0.9805,2.137,0.47
3510.66885,74.4088,0.9853,2.1357,0.47
3511.1083,72.169,0.9866,2.1383,0.46
3511.54775,69.5292,0.9879,2.1384,0.45
3511.9872,67.9635,0.9892,2.1377,0.44
3512.42665,69.6377,0.9905,2.1399,0.42
3512.8661,73.3797,0.9918,2.1423,0.43
3513.30555,75.9547,0.9931,2.1365,0.45
3513.745,77.3858,0.9921,2.1284,0.47
3514.18445,76.4133,0.9887,2.1257,0.48
3514.6239,75.1499,0.9854,2.1285,0.47
3515.06335,74.178,0.982,2.1311,0.47
3515.5028,74.3075,0.9786,2.1319,0.46
3515.94225,74.9069,0.9753,2.1347,0.46
3516.3817,76.1353,0.9719,2.1392,0.44
