DEPT,GR,RT,RHO,NPHI
4310.25884,93.483,1.7436,2.2823,0.4
4310.516500000001,95.2642,1.743,2.2924,0.39
4310.77414,98.653,1.7424,2.2963,0.38
4311.031760000001,102.3471,1.7418,2.2938,0.39
4311.28936,104.4403,1.7431,2.2873,0.4
4311.54694,104.8539,1.7505,2.2818,0.4
4311.804500000001,105.6578,1.758,2.2816,0.4
4312.06204,106.3577,1.7599,2.2851,0.41
4312.31956,103.0122,1.7593,2.2889,0.42
4312.5770600000005,100.4052,1.7587,2.2967,0.42
4312.834540000001,99.1208,1.7581,2.3089,0.39
4313.092,99.147,1.7575,2.3155,0.39
4313.349440000001,97.8841,1.7575,2.317,0.38
4313.606860000001,95.1307,1.7575,2.3127,0.36
4313.86426,93.3008,1.7575,2.3042,0.35
4314.12164,92.2718,1.7575,2.2954,0.35
4314.379000000001,91.1101,1.7575,2.2892,0.35
4314.63634,89.7454,1.763,2.2828,0.35
4314.89366,87.8454,1.7576,2.2845,0.34
4315.150960000001,87.3587,1.7577,2.2909,0.34
4315.408240000001,88.2633,1.7579,2.2964,0.34
4315.6655,90.2991,1.758,2.2955,0.35
4315.922740000001,91.7325,1.7582,2.2908,0.36
4316.17996,92.4657,1.7588,2.283,0.36
4316.43716,95.6283,1.7388,2.2726,0.35
4316.694340000001,98.4339,1.7393,2.2643,0.34
4316.9515,102.681,1.7399,2.2699,0.33
4317.20864,104.1728,1.7405,2.291,0.33
4317.46576,101.3201,1.7411,2.3013,0.33
4317.722860000001,97.8515,1.7416,2.3026,0.34
4317.97994,95.4361,1.7422,2.289,0.33
4318.237,96.0916,1.728,2.2816,0.33
4318.4940400000005,97.9544,1.7025,2.2835,0.34
4318.7510600000005,99.1044,1.683,2.2962,0.36
4319.00806,97.6942,1.6637,2.2995,0.37
4319.265040000001,94.6457,1.6396,2.2911,0.37
4319.522000000001,90.0412,1.6297,2.2553,0.36
4319.77894,85.0692,1.607,2.2208,0.34
4320.03586,82.5808,1.6075,2.1904,0.34
4320.292760000001,81.9965,1.5889,2.1689,0.34
4320.54964,80.3966,1.5814,2.157,0.33
4320.8065,76.4505,1.5741,2.1528,0.33
