DEPT,GR,RT,RHO,NPHI
3446.5398000000005,,,,
3446.9416425000004,66.3516,,2.0608,0.5
3447.3434700000003,70.2168,1.9009,2.0932,0.49
3447.7452825000005,76.6081,0.7607,2.1109,0.51
3448.1470800000006,82.1076,0.7025,2.1224,0.5
3448.5488625000007,82.3277,0.6969,2.1263,0.5
3448.9506300000007,80.1745,0.7529,2.1226,0.5
3449.3523825,79.5243,0.8438,2.1104,0.49
3449.75412,80.8417,0.8719,2.0993,0.49
3450.1558425000003,82.5012,0.8459,2.0917,0.5
3450.5575500000004,83.6201,0.8265,2.0858,0.5
3450.9592425000005,84.0097,0.8264,2.0803,0.49
3451.3609200000005,83.0037,0.8367,2.0797,0.47
3451.7625825,81.7064,0.8573,2.0798,0.47
3452.1642300000003,79.954,0.8798,2.0782,0.5
3452.5658625000005,78.9702,0.9111,2.0749,0.5
3452.9674800000003,79.189,0.9114,2.0751,0.51
3453.3690825000003,79.2384,0.9167,2.0762,0.49
3453.7706700000003,78.8946,0.9213,2.0765,0.51
3454.1722425000003,78.989,0.9177,2.0738,0.54
3454.5738,79.3107,0.9141,2.0655,0.55
3454.9753425000004,78.4071,0.9129,2.0572,0.56
3455.3768700000005,76.5145,0.9189,2.0507,0.56
3455.7783825000006,74.7033,0.9365,2.0508,0.55
3456.1798800000006,74.6938,0.9547,2.0549,0.51
3456.5813625000005,74.5916,0.9709,2.059,0.49
3456.9828300000004,75.1507,0.9712,2.0639,0.47
3457.3842825,77.6927,0.9715,2.0671,0.4742
3457.7857200000003,79.8166,0.9718,2.065,0.4822
3458.1871425000004,80.2198,0.9721,2.0648,0.4901
3458.5885500000004,79.8427,0.9725,2.066,0.4981
3458.989942500001,80.3139,0.9728,2.0677,0.5061
3459.39132,82.0506,0.9731,2.0678,0.5123
3459.7926825000004,82.6126,0.9734,2.0685,0.5153
3460.1940300000006,81.8454,0.9738,2.0706,0.5215
3460.5953625000006,79.7921,0.9741,2.0707,0.5138
3460.9966800000007,77.9803,0.9744,2.0692,0.506
3461.3979825000006,75.5163,0.9591,2.0682,0.5016
3461.7992700000004,74.4898,0.9414,2.0687,0.4973
3462.2005425,74.1157,0.9279,2.0722,0.4917
3462.6018000000004,74.323,0.9125,2.077,0.497
3463.0030425000004,74.9631,0.8973,2.0793,0.5022
3463.4042700000005,75.7104,0.9054,2.0817,0.5075
3463.8054825000004,74.7809,0.9305,2.0829,0.5126
3464.2066800000002,74.1841,0.9391,2.0794,0.5177
3464.6078625000005,74.8684,0.9611,2.0687,0.5226
3465.0090300000006,78.0401,0.9903,2.0573,0.5263
3465.4101825000002,80.4968,1.0063,2.0574,0.5303
3465.8113200000007,81.5546,1.0044,2.0622,0.5212
3466.2124425000006,80.7321,0.987,2.0769,0.5132
3466.6135500000005,78.9439,0.9683,2.0895,0.5097
3467.0146425000003,77.8088,0.9499,2.1058,0.5062
3467.4157200000004,77.4387,0.9241,2.1242,0.5038
3467.8167825000005,77.4583,0.9188,2.135,0.5087
3468.2178300000005,78.7641,0.9186,2.1328,0.5136
3468.6188625000004,81.2608,0.9126,2.1158,0.5182
3469.0198800000003,83.3625,0.9274,2.0988,0.5195
3469.4208825,83.5172,0.9407,2.0871,0.5052
3469.82187,82.5074,0.949,2.0852,0.5
3470.2228425000003,81.1094,0.9501,2.0854,0.48
3470.6238000000008,79.4716,0.9446,2.0855,0.46
3471.0247425000007,77.577,0.94,2.0843,0.46
3471.42567,77.2482,0.9399,2.0845,0.51
3471.8265825000003,78.5187,0.9397,2.0888,0.54
3472.2274800000005,79.5349,0.9395,2.0941,0.56
3472.6283625000005,81.335,0.9394,2.0942,0.5606
3473.0292300000006,82.3988,0.9392,2.0893,0.5492
3473.4300825000005,82.0335,0.9391,2.0837,0.5377
3473.830920000001,81.6783,0.9282,2.0825,0.5263
3474.2317425,79.3812,0.9335,2.0813,0.5148
3474.6325500000003,76.6688,0.9179,2.0762,0.5034
3475.0333425000003,74.1721,0.9051,2.0684,0.492
3475.4341200000003,74.0587,0.8833,2.0604,0.4805
3475.8348825000007,76.5084,0.8525,2.0591,0.4691
3476.2356300000006,79.6342,0.826,2.0673,0.4576
3476.6363625000004,80.753,0.8018,2.0743,0.4527
3477.0370800000005,80.9139,0.7848,2.0764,0.46
3477.4377825000006,80.823,0.7698,2.0706,0.48
3477.8384700000006,81.2478,0.7582,2.0604,0.49
3478.2391425000005,81.6725,0.7468,2.0574,0.4923
3478.639800000001,80.5251,0.7458,2.0658,0.4927
3479.0404425,78.5532,0.7615,2.079,0.4931
3479.4410700000003,76.0368,0.7948,2.0802,0.4935
3479.8416825000004,74.8081,0.8477,2.0743,0.4939
3480.2422800000004,74.4572,0.8976,2.0707,0.4942
3480.6428625000003,74.1214,0.9381,2.0713,0.4946
3481.0434300000006,72.9801,0.9676,2.0764,0.4957
3481.4439825000004,73.5436,0.9891,2.0781,0.4914
3481.84452,74.6314,1.0085,2.0768,0.487
3482.2450425,75.4135,0.9964,2.0756,0.483
3482.6455500000006,75.8396,0.9706,2.0743,0.4769
3483.0460425000006,77.5145,0.9359,2.0699,0.4708
3483.446520000001,80.1481,0.9029,2.0663,0.466
3483.8469825,80.6206,0.8454,2.0615,0.4701
3484.2474300000003,79.3584,0.7922,2.0614,0.4742
3484.6478625000004,76.7927,0.7582,2.0602,0.4783
3485.0482800000004,73.8424,0.7248,2.0616,0.48
3485.4486825000004,72.4639,0.7106,2.063,0.4708
3485.8490700000007,71.0907,0.7087,2.0678,0.4731
3486.2494425,71.127,0.7076,2.0742,0.4915
3486.6498,72.7805,0.7401,2.0792,0.5157
3487.0501425,75.4881,0.8063,2.0821,0.5075
3487.45047,77.6922,0.8754,2.0794,0.5053
3487.8507825000006,79.1147,0.9137,2.0722,0.5117
3488.2510800000005,80.6264,0.9552,2.0621,0.5101
3488.6513625000002,81.8279,0.9845,2.0577,0.5086
3489.0516300000004,80.6967,0.9845,2.056,0.5071
3489.4518825000005,78.0963,0.9964,2.0559,0.5078
3489.8521200000005,74.9768,1.0085,2.0548,0.5185
3490.2523425000004,71.3227,1.0085,2.0562,0.5212
3490.6525500000007,69.5655,1.0051,2.0605,0.513
3491.0527425,70.536,1.0085,2.0667,0.5048
3491.45292,72.7285,1.0085,2.0729,0.4967
3491.8530825000003,76.9509,1.0085,2.0763,0.4885
3492.2532300000003,79.3735,1.0085,2.075,0.4795
3492.6533625000006,80.4404,1.0085,2.0751,0.4657
3493.0534800000005,81.2176,1.0094,2.0794,0.452
3493.4535825000007,81.2176,1.0085,2.0859,0.44
3493.8536700000004,79.6957,1.0208,2.0824,0.44
3494.2537425000005,75.808,1.0116,2.0739,0.43
3494.6538000000005,73.4147,1.0085,2.0652,0.45
3495.0538425000004,73.0774,1.0085,2.0581,0.4784
3495.4538700000007,75.0804,1.0137,2.0544,0.4884
3495.8538825000005,76.8272,1.0085,2.0578,0.4983
3496.25388,80.4783,1.0207,2.0642,0.5083
3496.6538625000003,82.9226,1.0207,2.0716,0.5166
3497.0538300000003,83.9572,1.0206,2.0747,0.5166
3497.4537825000007,82.6175,1.0179,2.0683,0.5166
3497.8537200000005,81.2355,1.0082,2.0595,0.5157
3498.2536425000008,79.2884,1.0081,2.0536,0.5059
3498.6535500000005,79.7043,1.0081,2.0511,0.4951
3499.0534425000005,80.6086,1.008,2.0482,0.4951
3499.4533200000005,80.0735,1.0079,2.0426,0.4951
3499.8531825000005,79.0189,1.0078,2.0381,0.48
3500.2530300000003,76.1716,0.9957,2.0382,0.48
3500.6528625000005,74.7083,0.9956,2.0445,0.48
3501.0526800000002,73.5079,0.9836,2.0529,0.49
3501.4524825000003,73.3913,0.9835,2.0597,0.49
3501.8522700000003,75.9463,0.9834,2.059,0.48
3502.2520425000007,81.3021,0.9834,2.0543,0.47
3502.6518000000005,85.6256,0.9833,2.0491,0.46
3503.051542500001,84.7851,0.9832,2.048,0.46
3503.45127,81.3744,0.9951,2.0481,0.45
3503.8509825000006,80.2271,1.0071,2.0497,0.45
3504.2506800000006,81.0461,1.0071,2.0484,0.46
3504.6503625000005,81.4739,1.0192,2.046,0.4971
3505.050030000001,80.6215,1.019,2.0474,0.5148
3505.4496825000006,79.705,1.0191,2.0502,0.5124
3505.8493200000003,80.0212,1.019,2.0548,0.5099
3506.2489425000003,80.449,1.0189,2.0598,0.505
3506.6485500000003,80.8372,1.0189,2.0612,0.4969
3507.0481425000003,80.2891,1.0188,2.0601,0.5
3507.4477200000006,79.3521,1.0187,2.0587,0.49
3507.8472825000003,79.5123,1.0186,2.0491,0.46
3508.24683,80.9304,1.0097,2.0486,0.48
3508.6463625,81.3369,1.0185,2.0489,0.48
3509.04588,81.7435,1.0062,2.0503,0.47
3509.4453825000005,82.2447,1.0012,2.0518,0.45
3509.8448700000004,82.9472,0.9557,2.0571,0.44
3510.2443425000006,82.9047,0.9356,2.0645,0.44
3510.6438000000007,81.4978,0.91,2.0668,0.452
3511.0432425000004,79.4354,0.8951,2.0627,0.4826
3511.4426700000004,78.3238,0.8805,2.057,0.5188
3511.8420825000003,79.1214,0.8814,2.0554,0.5214
3512.2414800000006,79.5283,0.8848,2.0592,0.524
3512.640862500001,80.3259,0.8883,2.0667,0.5341
3513.0402300000005,79.9939,0.8943,2.0717,0.5096
3513.4395825,79.9678,0.908,2.0699,0.5
3513.8389200000006,80.3747,0.9219,2.0681,0.51
3514.2382425000005,80.1732,0.9632,2.0715,0.49
3514.6375500000004,78.595,0.9939,2.0763,0.47
3515.0368425000006,76.2751,0.9962,2.0737,0.47
3515.4361200000008,76.6024,0.9984,2.0698,0.48
3515.8353825000004,79.4926,1.0007,2.0712,0.5
3516.2346300000004,81.3882,1.003,2.074,0.51
3516.6338625000003,82.0512,1.0156,2.072,0.51
3517.0330800000006,81.4988,1.005,2.0674,0.5
3517.4322825000004,80.1305,1.0078,2.0635,0.48
3517.8314700000005,77.7874,1.0105,2.065,0.47
3518.2306425,75.0682,1.0133,2.0672,0.46
3518.6298,74.8288,1.0161,2.0687,0.46
3519.0289425000005,76.4007,1.0166,2.0705,0.47
3519.4280700000004,77.4666,1.0289,2.0752,0.49
3519.8271825000006,77.1043,1.0397,2.08,0.51
3520.2262800000008,76.6107,1.0287,2.0837,0.51
3520.6253625000004,75.5751,1.0214,2.0874,0.49
3521.0244300000004,75.2011,1.0327,2.0938,0.45
3521.4234825000003,74.5489,1.0442,2.1,0.43
3521.8225200000006,76.0068,1.0645,2.1002,0.45
3522.2215425000004,77.2045,1.0721,2.0964,0.48
3522.6205500000005,76.695,1.0919,2.0939,0.48
3523.0195425,74.1252,1.0792,2.096,0.47
3523.41852,71.7696,1.0791,2.1025,0.46
3523.8174825000006,73.2056,1.0922,2.1061,0.44
3524.2164300000004,76.2139,1.079,2.1043,0.44
3524.6153625000006,82.553,1.0789,2.0995,0.45
3525.014280000001,85.1597,1.0788,2.0983,0.47
3525.4131825000004,85.151,1.0788,2.0971,0.47
3525.8120700000004,84.0488,1.0787,2.0957,0.47
3526.2109425000003,82.6395,1.0786,2.0945,0.46
3526.6098000000006,82.1837,1.0785,2.097,0.44
3527.0086425000004,81.7017,1.0784,2.1041,0.43
3527.4074700000006,81.7182,1.0784,2.1082,0.44
3527.8062825,80.9681,1.0783,2.1039,0.45
3528.20508,80.5791,1.0782,2.0989,0.46
3528.6038625000006,81.444,1.0655,2.0923,0.45
3529.0026300000004,82.9559,1.0679,2.0883,0.4668
3529.4013825000006,82.9723,1.0702,2.083,0.5076
3529.8001200000003,81.8168,1.0726,2.0818,0.5038
3530.1988425000004,79.2814,1.075,2.0841,0.5
3530.5975500000004,79.1664,1.0774,2.0872,0.4962
3530.9962425000003,81.2971,1.0777,2.0886,0.4923
3531.39492,83.6082,1.0775,2.088,0.49
3531.7935825000004,85.0242,1.0706,2.0875,0.5
3532.1922300000006,85.0406,1.0762,2.0911,0.5
3532.5908625000006,85.8384,1.0634,2.0942,0.49
3532.98948,85.1911,1.0551,2.0955,0.5
3533.3880825,86.0792,1.0613,2.0943,0.52
3533.7866700000004,85.4971,1.0606,2.0945,0.53
3534.1852425000006,85.5135,1.0472,2.0982,0.51
3534.583800000001,86.8124,1.0448,2.1013,0.49
3534.982342500001,87.4996,1.039,2.1014,0.46
3535.3808700000004,86.9587,1.0338,2.1038,0.47
3535.7793825000003,84.0489,1.0457,2.1129,0.49
3536.1778800000006,81.6008,1.0269,2.1182,0.5
3536.5763625000004,81.0135,1.0332,2.1234,0.5
3536.9748300000006,81.7429,1.0208,2.1216,0.5
3537.3732825000006,83.3573,1.0208,2.1196,0.49
3537.77172,85.8385,1.0234,2.1157,0.48
3538.1701425000006,87.8116,1.0322,2.1132,0.48
3538.5685500000004,88.9,1.0411,2.1093,0.48
3538.9669425000006,87.5443,1.0501,2.1067,0.48
3539.3653200000003,84.8537,1.0584,2.1085,0.48
3539.7636825000004,82.4893,1.0584,2.1134,0.51
3540.1620300000004,82.112,1.0584,2.1198,0.51
3540.5603625000003,83.7032,1.0651,2.1248,0.5
3540.95868,85.1554,1.0843,2.1259,0.46
3541.3569825000004,85.3229,1.0843,2.124,0.43
3541.7552700000006,84.5676,1.0843,2.1235,0.42
3542.1535425000006,83.8139,1.0843,2.1262,0.43
3542.5518,84.706,1.0843,2.1302,0.44
3542.9500425,87.3071,1.0943,2.1303,0.46
3543.3482700000004,89.9874,1.0975,2.1279,0.46
3543.7464825000006,90.962,1.0975,2.1245,0.45
3544.1446800000003,90.5956,1.1048,2.1197,0.44
3544.5428625000004,89.4467,1.0975,2.1137,0.45
3544.9410300000004,88.6893,1.1073,2.1121,0.45
3545.3391825000003,89.4965,1.1108,2.1136,0.45
3545.73732,90.3037,1.1108,2.1186,0.45
3546.1354425000004,91.1106,1.1108,2.125,0.45
3546.5335500000006,91.1354,1.1243,2.1273,0.46
3546.9316425000006,89.5962,1.1243,2.1259,0.48
3547.32972,88.1735,1.1243,2.1207,0.49
3547.7277825,87.8139,1.1243,2.1128,0.48
3548.1258300000004,88.8687,1.1108,2.1055,0.46
3548.5238625000006,89.4711,1.1108,2.0995,0.45
3548.9218800000003,88.0248,1.0975,2.096,0.46
3549.3198825000004,85.5435,1.0884,2.0978,0.46
3549.717870000001,84.1624,1.0963,2.1028,0.47
3550.1158425000003,83.5439,1.0976,2.1078,0.48
3550.5138,82.9759,1.0996,2.1114,0.48
3550.9117425000004,82.8132,1.1124,2.1148,0.48
3551.3096700000006,82.0717,1.0998,2.1149,0.48
3551.7075825000006,80.9182,1.1005,2.1137,0.49
3552.1054800000006,78.8193,1.1012,2.1123,0.49
3552.5033625,76.7239,1.0888,2.1111,0.48
3552.9012300000004,78.1384,1.0764,2.1125,0.47
3553.2990825,79.9653,1.0515,2.114,0.47
3553.6969200000003,80.7483,1.0397,2.1152,0.47
3554.0947425000004,82.3818,1.053,2.1112,0.47
3554.4925500000004,84.5816,1.0785,2.1061,0.46
3554.8903425000003,85.9459,1.0913,2.1088,0.47
3555.28812,85.9857,1.091,2.1126,0.49
3555.6858825000004,85.6349,1.0908,2.1143,0.5
3556.0836300000005,86.0653,1.0906,2.1135,0.5
3556.4813625000006,85.2752,1.1035,2.1187,0.49
3556.8790800000006,83.1767,1.0901,2.1234,0.49
3557.2767825,81.1072,1.0898,2.1238,0.49
3557.6744700000004,81.1471,1.0896,2.119,0.5
3558.0721425000006,82.3587,1.0763,2.1159,0.5
3558.4698000000003,83.6662,1.0817,2.116,0.49
3558.8674425000004,84.9159,1.0888,2.1173,0.46
3559.265070000001,86.7593,1.0946,2.12,0.46
3559.6626825000003,87.1792,1.1015,2.1213,0.47
3560.06028,86.036,1.0881,2.1194,0.4795
3560.4578625000004,83.5184,1.0878,2.1147,0.4917
3560.8554300000005,81.0321,1.0876,2.1097,0.5039
3561.2529825000006,79.8664,1.0873,2.1085,0.517
3561.6505200000006,81.2267,1.0933,2.1089,0.5036
3562.0480425,82.3301,1.1,2.1088,0.4901
3562.4455500000004,81.9545,1.0866,2.1089,0.48
3562.8430425,81.1516,1.0863,2.112,0.46
3563.2405200000003,82.0944,1.0861,2.1158,0.47
3563.6379825000004,83.989,1.0858,2.1146,0.49
3564.0354300000004,84.7597,1.0856,2.1115,0.5169
3564.4328625000003,84.1745,1.0723,2.1123,0.512
3564.83028,83.2502,1.072,2.1175,0.5071
3565.2276825000004,83.6704,1.0589,2.1205,0.5022
3565.6250700000005,83.9939,1.0587,2.1163,0.4873
3566.0224425000006,84.1193,1.0584,2.1103,0.5041
3566.4198000000006,83.9906,1.0585,2.109,0.53
3566.8171425000005,82.9997,1.0585,2.1109,0.5056
3567.2144700000003,81.4589,1.0329,2.1132,0.4811
3567.6117825000006,81.5278,1.0,2.112,0.4566
3568.0090800000003,82.6909,0.9847,2.1121,0.47
3568.4063625000003,83.8958,0.9967,2.1099,0.47
3568.803630000001,82.3257,1.0089,2.1041,0.47
3569.2008825000007,79.7681,1.0212,2.0953,0.49
3569.59812,77.0223,1.009,2.0941,0.5
3569.9953425000003,74.6523,1.009,2.0959,0.49
3570.3925500000005,74.2537,1.009,2.097,0.47
3570.7897425000006,74.6872,1.0091,2.0945,0.46
3571.1869200000006,74.7283,1.0091,2.0903,0.48
3571.5840825000005,74.5047,1.0092,2.0881,0.49
3571.9812300000003,74.9962,1.0092,2.0901,0.49
3572.3783625,75.6956,1.0093,2.0936,0.5
3572.7754800000002,75.8731,1.0216,2.0937,0.5
3573.1725825000003,77.5163,1.0094,2.0894,0.51
3573.5696700000003,79.0696,1.0094,2.0848,0.51
3573.9667425000007,80.5862,1.0026,2.085,0.51
3574.3638,81.6649,1.0066,2.0863,0.5
3574.7608425000003,82.073,1.0077,2.0864,0.49
3575.1578700000005,81.9784,0.9975,2.0859,0.49
