DEPT,GR,RT,RHO,NPHI
3440.869,,0.9272,,
3441.32945,78.7398,0.7906,,
3441.7899,79.6775,0.8809,,
3442.2503500000003,78.293,0.9106,2.1487,
3442.7108000000003,77.1614,0.8886,2.1565,0.4974
3443.1712500000003,76.9321,0.8708,2.1329,0.4842
3443.6317000000004,77.99,0.8605,2.11,0.4884
3444.0921500000004,79.9782,0.861,2.0911,0.4905
3444.5526000000004,81.8208,0.8742,2.071,0.4909
3445.0130500000005,83.2032,0.889,2.0559,0.4906
3445.4735,84.1796,0.9059,2.0465,0.4869
3445.93395,85.3317,0.9238,2.0429,0.4838
3446.3944,86.1463,0.9433,2.0421,0.4812
3446.85485,86.7118,0.9632,2.043,0.4803
3447.3153,87.576,0.98,2.0486,0.4805
3447.7757500000002,88.6814,0.9851,2.0566,0.4831
3448.2362000000003,86.9894,0.9856,2.0643,0.4915
3448.6966500000003,85.1865,0.9856,2.07,0.5038
3449.1571000000004,83.6427,0.9813,2.0641,0.5196
3449.6175500000004,82.2451,0.9768,2.0544,0.5141
3450.0780000000004,81.4932,0.9705,2.0472,0.5158
3450.5384500000005,81.6515,0.9645,2.0463,0.5206
3450.9989,83.2041,0.9594,2.0498,0.5267
3451.45935,84.7543,0.9558,2.0515,0.5339
3451.9198,86.0744,0.9542,2.0497,0.5237
3452.38025,87.0869,0.9534,2.0454,0.5225
3452.8407,88.6432,0.9502,2.0412,0.5285
3453.3011500000002,90.4175,0.9455,2.0373,0.5355
3453.7616000000003,91.1245,0.9399,2.0337,0.5156
3454.2220500000003,88.731,0.9336,2.0299,0.5128
3454.6825000000003,85.9725,0.9269,2.0267,0.5101
3455.1429500000004,82.5047,0.9212,2.0232,0.4955
3455.6034000000004,79.6513,0.9174,2.0208,0.4788
3456.0638500000005,84.7604,0.9131,2.0205,0.4656
3456.5243,84.8522,0.9104,2.0236,0.4631
3456.98475,82.9524,0.9091,2.0345,0.4684
3457.4452,82.4024,0.9105,2.0481,0.4787
3457.90565,82.2851,0.9153,2.0647,0.4906
3458.3661,81.3071,0.923,2.0759,0.499
3458.82655,79.0921,0.9333,2.0805,0.5061
3459.2870000000003,78.9974,0.9439,2.0758,0.5084
3459.7474500000003,79.6243,0.9549,2.0676,0.5039
3460.2079000000003,80.9297,0.9618,2.0627,0.4993
3460.6683500000004,81.6509,0.9675,2.0681,0.5017
3461.1288000000004,80.7927,0.9726,2.0773,0.5045
3461.5892500000004,80.1562,0.9777,2.0863,0.5063
3462.0497000000005,79.996,0.9829,2.0937,0.5082
3462.51015,80.8465,0.9853,2.1,0.5096
3462.9706,81.9317,0.9876,2.1063,0.5093
3463.43105,83.0631,0.99,2.1111,0.5065
3463.8915,84.6702,0.9924,2.1076,0.5001
3464.35195,87.1576,0.9984,2.1024,0.4896
3464.8124000000003,88.1662,1.0047,2.1,0.4813
3465.2728500000003,87.0321,1.0111,2.0999,0.4728
3465.7333000000003,85.8373,1.015,2.1043,0.4616
3466.1937500000004,86.0788,1.0189,2.1121,0.4563
3466.6542000000004,86.0429,1.0216,2.1198,0.4575
3467.1146500000004,84.7935,1.0224,2.1261,0.4629
3467.5751000000005,84.8708,1.0223,2.1256,0.472
3468.03555,85.9089,1.0204,2.1232,0.494
3468.496,86.3586,1.0159,2.1181,0.5085
3468.95645,86.7167,1.0115,2.1132,0.5071
3469.4169,87.5536,1.0073,2.1088,0.5087
3469.87735,88.7801,1.003,2.105,0.5044
3470.3378000000002,90.7186,1.0001,2.0996,0.5026
3470.7982500000003,91.1996,0.9965,2.0951,0.5063
3471.2587000000003,88.4361,0.9916,2.0904,0.5038
3471.7191500000004,85.8688,0.9851,2.0844,0.5091
3472.1796000000004,83.9655,0.9782,2.0818,0.5098
3472.6400500000004,83.2896,0.9699,2.0861,0.5061
3473.1005000000005,84.7174,0.9622,2.0917,0.4887
3473.56095,86.8189,0.9524,2.0952,0.4939
3474.0214,88.6702,0.943,2.0966,0.5036
3474.48185,88.8854,0.934,2.0947,0.53
3474.9423,87.7853,0.9265,2.0931,0.539
3475.40275,85.6176,0.9215,2.0926,0.5495
3475.8632000000002,83.3768,0.9184,2.0931,0.5408
3476.3236500000003,82.9409,0.9173,2.0948,0.5227
3476.7841000000003,82.9464,0.9168,2.0979,0.5163
3477.2445500000003,82.9387,0.9164,2.1006,0.51
3477.7050000000004,83.1296,0.92,2.1023,0.5015
3478.1654500000004,85.3389,0.9229,2.1059,0.4927
3478.6259000000005,86.8196,0.9246,2.1063,0.4835
3479.08635,86.0267,0.9248,2.1046,0.4748
