DEPT,GR,RT,RHO,NPHI
2918.9012000000002,,0.94,,
2919.401,,0.9549,,
2919.9008,79.0379,0.9671,,
2920.4006,78.0528,0.9766,,0.5402
2920.9004,76.6838,0.9848,1.8159,0.5405
2921.4002,75.1127,0.9908,1.8157,0.5394
2921.9,73.3383,0.9945,1.8157,0.5368
2922.3998,71.4422,0.9952,1.8176,0.5332
2922.8996,70.4228,0.9934,1.8199,0.5286
2923.3994000000002,70.5471,0.9859,1.823,0.5264
2923.8992,71.1466,0.9802,1.8237,0.5259
2924.399,72.2565,0.9792,1.8242,0.5286
2924.8988,73.5158,0.9786,1.826,0.5344
2925.3986,75.7873,0.9782,1.8298,0.5431
2925.8984,79.0725,0.9777,1.8353,0.5515
2926.3982,83.0196,0.9772,1.8452,0.5496
2926.898,87.0702,0.9767,1.8585,0.5161
2927.3978,89.5531,0.9785,1.8693,0.5144
2927.8976000000002,90.2574,0.9805,1.8793,0.5154
2928.3974,89.6458,0.9817,1.8862,0.5176
2928.8972,88.7598,0.9816,1.8828,0.5204
2929.397,87.808,0.9813,1.8778,0.5227
2929.8968,86.9393,0.9808,1.8708,0.5236
2930.3966,86.327,0.9803,1.8686,0.5205
2930.8964,86.3369,0.9798,1.8813,0.513
2931.3962,86.9005,0.9776,1.9069,0.5013
2931.896,87.4309,0.9724,1.9277,0.4891
2932.3958000000002,87.6842,0.9715,1.9417,0.4887
2932.8956,87.287,0.9722,1.9543,0.4934
2933.3954,86.4358,0.9747,1.9646,0.5063
2933.8952,85.5878,0.9778,1.973,0.5084
2934.395,84.8214,0.9811,1.9791,0.5074
2934.8948,84.0889,0.9828,1.9839,0.5034
2935.3946,83.6,0.9842,1.9868,0.5068
2935.8944,83.8917,0.9868,1.9887,0.5178
2936.3942,85.1925,0.9918,1.9892,0.5319
2936.8940000000002,86.6762,0.9974,1.9869,0.5487
2937.3938,88.1092,1.0036,1.9846,0.5276
2937.8936,89.082,1.0171,1.9837,0.4662
2938.3934,89.8169,1.0292,1.9862,0.433
2938.8932,90.1553,1.0296,1.9921,0.4405
2939.393,90.3429,1.0293,1.9879,0.4582
2939.8928,90.3236,1.0206,1.9806,0.4839
2940.3926,90.1713,1.0107,1.9799,0.5003
2940.8924,89.6763,0.997,1.9899,0.5043
2941.3922000000002,89.0549,0.9841,1.999,0.5092
2941.892,88.4073,0.9782,2.0001,0.5098
2942.3918,88.0033,0.9746,1.9993,0.5032
2942.8916,87.8347,0.9722,1.9975,0.4962
2943.3914,87.7505,0.9713,1.9964,0.4899
2943.8912,87.9429,0.9708,1.9958,0.4902
2944.391,88.5751,0.9702,1.9953,0.4929
2944.8908,89.5025,0.9697,1.9953,0.4957
2945.3906,90.6345,0.9693,1.9967,0.4822
2945.8904,91.3016,0.9688,1.999,0.463
2946.3902,91.55,0.9683,2.001,0.4629
2946.89,91.3255,0.9703,2.0018,0.4717
2947.3898,90.5169,0.9724,2.0019,0.4814
2947.8896,89.6613,0.9771,2.0004,0.495
2948.3894,89.3697,0.982,1.9956,0.5154
2948.8892,89.702,0.9852,1.9922,0.518
2949.389,90.4656,0.9862,1.9903,0.5154
2949.8888,91.3317,0.9859,1.9893,0.5267
2950.3886,92.0385,0.9855,1.9892,0.5301
2950.8884,92.2534,0.9833,1.9895,0.5122
2951.3882,92.2077,0.9789,1.9913,0.4993
2951.888,91.8384,0.9755,1.9948,0.4793
2952.3878,91.3574,0.9727,1.9999,0.4871
2952.8876,90.7993,0.9711,2.0063,0.4954
2953.3874,90.3365,0.9703,2.012,0.5048
2953.8872,90.1453,0.9698,2.0141,0.5173
2954.387,90.0986,0.9705,2.014,0.532
2954.8868,90.5779,0.9719,2.0136,0.5486
2955.3866,91.4615,0.9752,2.0136,0.5328
2955.8864,92.7247,0.9787,2.0139,0.5284
2956.3862,93.711,0.9823,2.0154,0.5289
2956.886,94.19,0.9861,2.0188,0.5231
2957.3858,93.9984,0.9887,2.0246,0.5158
2957.8856,92.7639,0.9886,2.0337,0.5137
2958.3854,90.7722,0.9883,2.0449,0.5116
2958.8852,88.7122,0.9878,2.0568,0.5095
2959.385,87.2558,0.9839,2.0684,0.4966
2959.8848,87.4551,0.9805,2.073,0.4751
2960.3846,88.5036,0.9763,2.0455,0.4633
2960.8844,91.1128,0.9727,2.0254,0.4737
2961.3842,94.3495,0.9705,2.0087,0.484
2961.884,95.6317,0.9692,1.9932,0.5001
2962.3838,94.6208,0.9686,1.9901,0.5464
2962.8836,92.2913,0.9709,1.9982,0.5704
2963.3834,91.1277,0.9782,2.0055,0.5661
2963.8832,90.4991,0.9864,2.011,0.5344
2964.3830000000003,89.9908,0.9967,2.0134,0.5131
2964.8828,89.2978,1.0127,2.0116,0.5115
2965.3826,88.7217,1.0256,2.0092,0.5155
2965.8824,88.5545,1.0352,2.0084,0.5209
2966.3822,89.2972,1.0429,2.0079,0.5242
2966.882,90.2917,1.049,2.0095,0.518
2967.3818,91.4162,1.0584,2.0122,0.5152
2967.8816,92.5517,1.0607,2.0148,0.5124
2968.3814,93.3762,1.061,2.017,0.5096
2968.8812000000003,93.3729,1.064,2.0186,0.5033
2969.381,92.1255,1.0722,2.0183,0.4981
2969.8808,91.0203,1.0805,2.0159,0.4948
2970.3806,90.3144,1.0907,2.0192,0.4917
2970.8804,90.2582,1.1005,2.024,0.4885
2971.3802,90.4478,1.1173,2.0203,0.4842
2971.88,90.653,1.1361,2.0149,0.4781
2972.3798,90.9724,1.1551,2.0085,0.4829
2972.8796,91.4434,1.1722,2.0004,0.4911
2973.3794000000003,92.2144,1.1875,1.9942,0.5121
2973.8792,92.9807,1.1903,2.0004,0.535
2974.379,93.7448,1.1904,2.0134,0.5604
2974.8788,94.5268,1.1867,2.0244,0.5426
2975.3786,95.2624,1.1852,2.0347,0.5255
2975.8784,96.1057,1.1844,2.0304,0.5158
2976.3782,96.9903,1.1914,2.0213,0.5041
2976.878,98.2218,1.2032,2.0135,0.492
2977.3778,99.4026,1.2194,2.0147,0.4806
2977.8776000000003,100.3236,1.2377,2.0181,0.4902
2978.3774,100.8997,1.2551,2.0218,0.5008
2978.8772,100.285,1.2754,2.0257,0.502
2979.377,98.3498,1.3015,2.0291,0.5002
2979.8768,96.6426,1.3304,2.0306,0.4941
2980.3766,95.8416,1.349,2.0303,0.4826
2980.8764,95.6643,1.3606,2.0332,0.4729
2981.3762,95.7445,1.3629,2.0429,0.4659
2981.876,96.4926,1.3507,2.0526,0.4656
2982.3758000000003,97.772,1.3271,2.0621,0.4728
2982.8756,99.1097,1.3017,2.0712,0.4792
2983.3754,100.1666,1.2766,2.0685,0.4838
2983.8752,100.8463,1.2608,2.0637,0.4874
2984.375,100.1312,1.2542,2.0601,0.4827
2984.8748,97.9377,1.2482,2.061,0.4744
2985.3746,95.6089,1.241,2.06,0.4675
2985.8744,94.0794,1.2356,2.0562,0.4755
2986.3742,93.7461,1.2349,2.0514,0.483
2986.8740000000003,94.3177,1.2202,2.0547,0.4747
2987.3738,94.9422,1.1975,2.0609,0.4613
2987.8736,95.4924,1.1809,2.0679,0.4436
2988.3734,95.613,1.1727,2.0753,0.4348
2988.8732,95.2869,1.165,2.0832,0.4462
2989.373,95.1581,1.1565,2.083,0.4788
2989.8728,95.4046,1.1456,2.0755,0.4926
2990.3726,97.4077,1.1347,2.0646,0.4926
2990.8724,99.8821,1.12,2.0532,0.4868
2991.3722000000002,99.1469,1.1071,2.0442,0.481
2991.872,97.0135,1.0975,2.0345,0.4829
2992.3718,95.1228,1.0912,2.0306,0.4869
2992.8716,94.2817,1.0886,2.0494,0.4927
2993.3714,94.1959,1.0871,2.0593,0.4999
2993.8712,94.3014,1.0862,2.0544,0.507
2994.371,94.2384,1.0857,2.0461,0.5098
2994.8708,93.4156,1.0851,2.0342,0.5187
2995.3706,92.4334,1.0864,2.0225,0.5293
2995.8704000000002,92.8215,1.0897,2.0163,0.5221
2996.3702,93.6018,1.0955,2.0198,0.5124
2996.87,94.0546,1.1067,2.0282,0.5129
2997.3698,94.156,1.1221,2.0391,0.5177
2997.8696,94.0123,1.1365,2.0553,0.5193
