DEPT,GR,RT,RHO,NPHI
3682.548,,,,
3683.03405,,0.8546,2.1397,0.47
3683.5200999999997,,0.8523,2.1441,0.4469
3684.00615,,0.8586,2.1438,0.4421
3684.4921999999997,,0.8737,2.1515,0.4494
3684.97825,,0.889,2.1625,0.4597
3685.4642999999996,,0.903,2.1691,0.4814
3685.95035,,0.9101,2.1596,0.477
3686.4363999999996,,0.911,2.1455,0.4832
3686.92245,,0.9155,2.1325,0.4922
3687.4084999999995,,0.9235,2.1271,0.5024
3687.89455,,0.9328,2.129,0.4908
3688.3805999999995,,0.9418,2.1342,0.4741
3688.86665,,0.9544,2.1403,0.4564
3689.3526999999995,,0.9675,2.1425,0.4453
3689.83875,,0.9707,2.1418,0.4527
3690.3247999999994,,0.9709,2.1397,0.4652
3690.81085,,0.9696,2.1383,0.4789
3691.2969000000003,,0.9694,2.1416,0.4754
3691.78295,,0.9693,2.1467,0.4663
3692.2690000000002,,0.9693,2.1513,0.4548
3692.7550499999998,,0.9664,2.1538,0.4536
3693.2411,,0.963,2.1494,0.4579
3693.7271499999997,,0.9592,2.1465,0.47
3694.2132,,0.9539,2.1466,0.5007
3694.6992499999997,,0.9474,2.1484,0.5061
3695.1853,,0.9421,2.1523,0.5019
3695.6713499999996,,0.9365,2.1563,0.4891
3696.1574,,0.9311,2.1587,0.4769
3696.6434499999996,,0.9261,2.1571,0.4712
3697.1295,,0.921,2.15,0.4733
3697.6155499999995,,0.9161,2.1455,0.4772
3698.1016,,0.9125,2.144,0.4677
3698.5876499999995,,0.9093,2.1442,0.4684
3699.0737,,0.9071,2.1441,0.48
3699.5597499999994,,0.9061,2.1408,0.4893
3700.0458,,0.9051,2.1413,0.5027
3700.5318500000003,,0.905,2.1457,0.5088
3701.0179,,0.905,2.1472,0.5084
3701.5039500000003,,0.9051,2.1424,0.4346
3701.99,,0.9051,2.1474,0.4285
3702.47605,,0.9051,2.1539,0.4331
3702.9620999999997,,0.906,2.1604,0.4386
3703.44815,,0.9073,2.1669,0.4416
3703.9341999999997,,0.9089,2.1715,0.4321
3704.42025,,0.9107,2.1746,0.4305
3704.9062999999996,,0.9125,2.1741,0.4339
3705.39235,,0.9132,2.1717,0.4396
3705.8783999999996,,0.9134,2.1693,0.4497
3706.36445,,0.9135,2.1685,0.4604
3706.8504999999996,,0.9115,2.172,0.471
3707.33655,,0.9095,2.1741,0.4793
3707.8225999999995,,0.9087,2.1681,0.4855
3708.30865,,0.9086,2.1595,0.4856
3708.7946999999995,,0.9086,2.1549,0.4714
3709.28075,,0.9086,2.1566,0.4536
3709.7667999999994,,0.9087,2.1584,0.4323
3710.25285,,0.9087,2.1587,0.4377
3710.7389000000003,,0.9087,2.1583,0.4406
3711.22495,,0.9087,2.157,0.4374
3711.7110000000002,,0.9104,2.1566,0.4331
3712.1970499999998,,0.9123,2.1566,0.4326
3712.6831,,0.9153,2.1568,0.4392
3713.1691499999997,,0.9201,2.1568,0.4469
3713.6552,,0.9259,2.1529,0.4554
3714.1412499999997,,0.9303,2.1433,0.4711
3714.6273,,0.9323,2.1376,0.4994
3715.1133499999996,,0.9332,2.1344,0.5052
3715.5994,,0.9336,2.1338,0.5075
3716.0854499999996,,0.9318,2.1384,0.5067
3716.5715,,0.9291,2.1457,0.4976
3717.0575499999995,,0.927,2.1536,0.4761
3717.5436,,0.9251,2.1586,0.4461
3718.0296499999995,,0.9233,2.1483,0.434
3718.5157,,0.9227,2.1417,0.4248
3719.0017499999994,,0.9224,2.1407,0.4236
3719.4878,,0.9224,2.1456,0.427
3719.9738500000003,,0.9245,2.1519,0.4365
3720.4599,,0.9287,2.1535,0.4474
3720.9459500000003,,0.9335,2.1484,0.4591
3721.432,,0.9374,2.143,0.471
3721.91805,,0.9424,2.1398,0.4807
3722.4040999999997,,0.9479,2.1382,0.4883
3722.89015,,0.9525,2.1368,0.498
3723.3761999999997,,0.959,2.1348,0.5064
3723.86225,,0.9646,2.134,0.5031
3724.3482999999997,,0.9707,2.1374,0.4971
3724.83435,,0.9773,2.1428,0.4699
3725.3203999999996,,0.9842,2.1491,0.4447
3725.80645,,0.9914,2.1607,0.4474
3726.2924999999996,,0.9988,2.1755,0.456
3726.77855,,1.0064,2.1947,0.4632
3727.2645999999995,,1.0123,2.2197,0.4699
3727.75065,,1.0155,2.2375,0.4754
3728.2366999999995,,1.0157,2.242,0.4799
3728.72275,,1.0145,2.2369,0.4854
3729.2087999999994,,1.0125,2.2206,0.4921
3729.69485,,1.0102,2.2002,0.498
3730.1809000000003,,1.0067,2.1785,0.5037
3730.66695,,1.0013,2.1591,0.4928
3731.1530000000002,,0.9935,2.1446,0.4765
3731.6390499999998,84.1785,0.987,2.1424,0.465
3732.1251,84.4647,0.9819,2.1499,0.4576
3732.6111499999997,84.0061,0.9795,2.1545,0.4602
3733.0972,82.0421,0.9786,2.1521,0.4715
3733.5832499999997,79.6112,0.9782,2.1497,0.4849
3734.0693,79.0548,0.9792,2.1535,0.4859
3734.5553499999996,79.8531,0.9831,2.1526,0.4838
3735.0414,81.1027,0.988,2.1493,0.4781
3735.5274499999996,82.0641,0.9923,2.1439,0.4629
3736.0135,82.554,0.9951,2.1377,0.4491
3736.4995499999995,82.4841,0.9958,2.1289,0.432
3736.9856,81.9804,0.996,2.1182,0.4373
3737.4716499999995,81.5275,0.9961,2.1034,0.4548
3737.9577,80.4611,0.9961,2.0818,0.4765
3738.4437499999995,79.3621,0.9951,2.0105,0.4821
3738.9298,79.1808,0.9935,1.9861,0.4859
3739.4158500000003,80.0588,0.9915,1.9788,0.49
3739.9019,81.2694,0.9895,1.9773,0.4972
3740.3879500000003,82.2374,0.9874,1.9919,0.4927
3740.874,82.2998,0.9855,2.0023,0.4562
3741.3600500000002,82.0319,0.9835,2.007,0.4428
3741.8460999999998,81.0798,0.9815,2.0053,0.4394
3742.33215,79.9106,0.9796,1.9964,0.4409
3742.8181999999997,81.1987,0.9777,1.9866,0.4489
3743.30425,81.7588,0.977,1.9875,0.4591
3743.7902999999997,81.7887,0.9756,1.9913,0.4704
3744.27635,80.9297,0.9739,1.9962,0.4814
3744.7623999999996,79.7386,0.9734,2.0058,0.4888
3745.24845,78.5748,0.9721,2.0214,0.4865
3745.7344999999996,78.5881,0.9706,2.0398,0.4815
3746.22055,79.4507,0.969,2.0529,0.4822
3746.7065999999995,80.5027,0.9684,2.0548,0.4878
3747.19265,80.7634,0.9682,2.0515,0.4847
3747.6786999999995,80.415,0.9681,2.0696,0.4798
3748.16475,79.7683,0.968,2.0808,0.4802
3748.6507999999994,79.014,0.968,2.0827,0.4837
3749.13685,78.5337,0.968,2.0822,0.4886
3749.6229000000003,79.7369,0.968,2.0798,0.4926
3750.10895,79.4733,0.9696,2.0783,0.496
3750.5950000000003,78.2066,0.9698,2.0789,0.4979
3751.08105,78.0447,0.9699,2.0826,0.4984
3751.5671,78.4845,0.9699,2.0859,0.4983
3752.0531499999997,79.1414,0.9683,2.085,0.4919
3752.5392,79.9879,0.9649,2.0793,0.4792
3753.0252499999997,81.356,0.9615,2.0718,0.4609
3753.5113,81.8472,0.9568,2.0709,0.4495
3753.9973499999996,81.6311,0.9503,2.0752,0.4348
3754.4834,80.2949,0.9452,2.0794,0.4312
3754.9694499999996,78.8943,0.9414,2.084,0.4389
3755.4555,78.6957,0.9377,2.0802,0.452
3755.9415499999996,79.4054,0.9356,2.0748,0.4699
3756.4276,80.7575,0.9355,2.0695,0.4794
3756.9136499999995,81.7911,0.9355,2.065,0.48
3757.3997,82.2875,0.9355,2.0607,0.4802
3757.8857499999995,82.636,0.9341,2.0567,0.4786
3758.3718,82.293,0.9249,2.0548,0.472
3758.8578499999994,82.6914,0.9095,2.0539,0.469
3759.3439,83.5698,0.8789,2.0668,0.4724
3759.8299500000003,84.4168,0.848,2.082,0.4787
3760.316,85.2617,0.8235,2.0895,0.4859
3760.8020500000002,84.4794,0.818,2.0932,0.4953
3761.2880999999998,82.4028,0.8228,2.0959,0.5008
3761.77415,81.0693,0.8336,2.098,0.5038
3762.2601999999997,80.9118,0.8514,2.0992,0.5006
3762.74625,81.52,0.8713,2.1013,0.4905
3763.2322999999997,81.8788,0.8917,2.1045,0.4793
3763.71835,82.17,0.9117,2.1088,0.4733
3764.2043999999996,82.4989,0.9204,2.1148,0.4729
3764.69045,81.6413,0.9229,2.1248,0.475
3765.1764999999996,81.0939,0.9254,2.1396,0.4703
3765.66255,81.7547,0.9269,2.1533,0.4641
3766.1485999999995,81.4422,0.9274,2.1426,0.4638
3766.63465,79.6092,0.9297,2.1313,0.4671
3767.1206999999995,78.3717,0.9319,2.1219,0.4718
3767.60675,78.5326,0.9356,2.1151,0.4716
3768.0927999999994,79.7964,0.9401,2.1152,0.4697
3768.57885,82.6983,0.9431,2.1235,0.4675
3769.0649000000003,83.951,0.9443,2.1395,0.4625
3769.55095,83.5085,0.9445,2.1325,0.4483
3770.0370000000003,81.8033,0.9445,2.1262,0.4267
3770.52305,79.2612,0.9392,2.1216,0.4257
3771.0091,78.0549,0.9267,2.1208,0.4359
3771.4951499999997,79.3914,0.9082,2.1236,0.4465
3771.9812,81.9772,0.893,2.1254,0.4563
3772.4672499999997,84.2961,0.8866,2.1258,0.4512
3772.9533,84.6922,0.8841,2.1262,0.4425
3773.4393499999996,84.0467,0.8834,2.1356,0.4389
3773.9254,83.6997,0.886,2.1457,0.4505
3774.4114499999996,83.5257,0.8893,2.1541,0.4589
3774.8975,82.4128,0.8917,2.1615,0.4631
3775.3835499999996,80.2443,0.8926,2.1662,0.4669
3775.8696,79.0936,0.893,2.1639,0.4734
3776.3556499999995,80.1105,0.8943,2.1604,0.4695
3776.8417,81.08,0.8961,2.1593,0.468
3777.3277499999995,81.8397,0.8981,2.1626,0.4745
3777.8138,82.1994,0.9003,2.1681,0.4777
3778.2998499999994,82.6853,0.9026,2.1727,0.4705
3778.7859,82.9591,0.905,2.1746,0.4605
3779.2719500000003,82.62,0.9075,2.175,0.4544
3779.758,80.885,0.91,2.175,0.4563
3780.2440500000002,79.1436,0.9111,2.1737,0.4585
3780.7300999999998,79.717,0.9135,2.1711,0.4622
3781.21615,80.725,0.9162,2.1676,0.4679
3781.7021999999997,80.1838,0.9191,2.1651,0.4743
3782.18825,79.4525,0.9219,2.1678,0.4776
3782.6742999999997,78.3514,0.9248,2.1727,0.4794
3783.16035,78.7601,0.9278,2.1774,0.4735
3783.6463999999996,79.6244,0.9311,2.1773,0.4589
3784.13245,80.1235,0.9329,2.1717,0.4402
3784.6184999999996,80.2601,0.93,2.1677,0.4754
3785.10455,80.2787,0.9025,2.17,0.4857
3785.5905999999995,79.9916,0.8894,2.1778,0.4902
3786.07665,78.3204,0.8824,2.1872,0.4932
3786.5626999999995,73.534,0.8809,2.198,0.4976
3787.04875,65.0672,0.8822,2.2015,0.5022
3787.5347999999994,58.7017,0.893,2.191,0.5038
3788.02085,54.6114,0.9159,2.1976,0.4941
3788.5069000000003,50.8723,0.9643,2.2107,0.4645
3788.99295,45.8472,1.0392,2.2125,0.4273
3789.4790000000003,40.397,1.1161,2.2042,0.3552
3789.96505,35.9614,1.1829,2.1913,0.2966
3790.4511,41.7838,1.2386,2.1846,0.2606
3790.9371499999997,51.6019,1.2882,2.1785,0.238
3791.4232,62.743,1.3033,2.1656,0.2443
3791.9092499999997,61.6566,1.2958,2.1472,0.2581
