DEPT,GR,RT,RHO,NPHI
2909.9433,45.4793,1.0672,,0.5079
2910.4431999999997,46.5106,1.0652,,0.5081
2910.9431,48.3419,1.0647,1.4745,0.5215
2911.4429999999998,49.246,1.0643,1.4744,0.5241
2911.9429,49.4267,1.0677,1.4747,0.5904
2912.4428,49.0627,1.0739,1.475,0.6088
2912.9427,47.6565,1.0821,1.4746,0.6408
2913.4426,46.789,1.0906,1.4743,0.6229
2913.9424999999997,48.3287,1.1,1.4752,0.5929
2914.4424,49.598,1.1085,1.4784,0.5654
2914.9422999999997,49.5152,1.1159,1.4858,0.5076
2915.4422,48.7991,1.1219,1.4937,0.5095
2915.9420999999998,48.2607,1.126,1.5003,0.5223
2916.442,47.7376,1.1262,1.5047,0.5416
2916.9419,47.2015,1.1262,1.507,0.5517
2917.4418,47.0002,1.1246,1.5096,0.5354
2917.9417,49.0206,1.1223,1.514,0.5141
2918.4415999999997,51.168,1.1194,1.5194,0.4932
2918.9415,51.9612,1.115,1.5251,0.507
2919.4413999999997,50.381,1.1083,1.5317,0.5096
2919.9413,48.5247,1.0983,1.5234,0.5212
2920.4411999999998,46.9116,1.0867,1.5049,0.5205
2920.9411,45.7645,1.0744,1.4869,0.5252
2921.441,45.2574,1.0621,1.4708,0.5348
2921.9409,46.8205,1.0509,1.4711,0.5473
2922.4408,48.8319,1.0407,1.5029,0.5566
2922.9406999999997,49.196,1.0316,1.5385,0.551
2923.4406,49.2727,1.0227,1.5551,0.5465
2923.9404999999997,50.585,1.0118,1.5601,0.5432
2924.4404,51.5679,1.001,1.548,0.5435
2924.9402999999998,50.3937,0.9921,1.5293,0.5471
2925.4402,48.8417,0.984,1.5149,0.5519
2925.9401,47.4755,0.977,1.5053,0.5447
2926.44,46.5719,0.9719,1.4964,0.531
2926.9399,46.1936,0.9658,1.4873,0.5087
2927.4397999999997,46.8549,0.9625,1.4768,0.4956
2927.9397,47.4689,0.9597,1.4656,0.4972
2928.4395999999997,48.5137,0.9573,1.4591,0.5081
2928.9395,50.972,0.9549,1.4605,0.5175
2929.4393999999998,53.6459,0.9526,1.4704,0.5221
2929.9393,56.4782,0.9518,1.5,0.5194
2930.4392,59.3452,0.9516,1.544,0.5248
2930.9391,62.0009,0.9558,1.5896,0.5304
2931.439,64.4064,0.9624,1.8053,0.5313
2931.9388999999996,66.1389,0.9703,1.8592,0.5264
2932.4388,67.7761,0.9801,1.868,0.5288
2932.9386999999997,68.8866,0.9983,1.8696,0.5341
2933.4386,69.6219,1.0213,1.8757,0.5413
2933.9384999999997,70.0046,1.0449,1.8837,0.5516
2934.4384,69.9917,1.0691,1.8732,0.5657
2934.9383,69.6784,1.0878,1.857,0.5815
2935.4382,69.5111,1.1035,1.8373,0.5856
2935.9381,70.059,1.1138,1.8226,0.5639
2936.4379999999996,70.8763,1.1138,1.8125,0.5516
2936.9379,72.0513,1.1136,1.8227,0.545
2937.4377999999997,73.0416,1.1133,1.8453,0.5375
2937.9377,73.6053,1.1129,1.8726,0.5351
2938.4375999999997,73.8629,1.1101,1.8907,0.5475
2938.9375,74.9831,1.1068,1.9124,0.5292
2939.4374,77.3022,1.1032,1.9301,0.5167
2939.9373,79.6934,1.0997,1.944,0.4989
2940.4372,81.1597,1.0961,1.9539,0.4813
2940.9370999999996,81.4152,1.0953,1.9602,0.4908
2941.437,80.608,1.0949,1.9628,0.5068
2941.9368999999997,79.8141,1.0945,1.9533,0.5022
2942.4368,79.0922,1.0991,1.9412,0.5057
2942.9366999999997,78.6143,1.1026,1.9475,0.5092
2943.4366,79.2412,1.1035,1.9611,0.5215
2943.9365,81.4735,1.1032,1.9775,0.5149
2944.4364,83.6501,1.1029,1.9947,0.5004
2944.9363,85.3069,1.1011,2.0095,0.4739
2945.4361999999996,85.869,1.1003,2.0171,0.4713
2945.9361,84.8614,1.1,2.0205,0.4865
2946.4359999999997,81.8015,1.1009,2.022,0.5017
2946.9359,78.5804,1.1026,2.0178,0.5158
2947.4357999999997,76.3399,1.1047,2.0132,0.525
2947.9357,77.0275,1.1057,2.0112,0.5306
