DEPT,GR,RT,RHO,NPHI
3489.5109999999995,,,,
3489.8915399999996,66.5954,6.76,2.0574,
3490.27206,70.2443,0.9094,2.0362,0.48
3490.65256,72.3733,0.8407,2.0245,0.47
3491.0330399999993,72.6868,0.8011,2.019,0.46
3491.4134999999997,73.1502,0.8238,2.0215,0.47
3491.7939399999996,73.5583,0.9611,2.0328,0.51
3492.17436,73.1753,1.0756,2.0388,0.52
3492.55476,71.6282,1.0485,2.0289,0.53
3492.9351399999996,70.1826,1.01,2.0106,0.51
3493.3154999999997,68.9278,0.9838,2.0042,0.5
3493.69584,69.4576,0.9958,2.0173,0.49
3494.0761599999996,73.1262,1.0203,2.034,0.49
3494.4564599999994,77.0441,1.0546,2.0472,0.49
3494.8367399999997,81.569,1.0902,2.0576,0.49
3495.217,85.8645,1.1269,2.0679,0.49
3495.5972399999996,88.8742,1.1399,2.0785,0.5
3495.977459999999,87.866,1.1433,2.0884,0.49
3496.3576599999997,84.9205,1.1468,2.0959,0.47
3496.7378399999993,80.8633,1.1502,2.0977,0.45
3497.118,78.1314,1.1515,2.097,0.46
3497.4981399999997,76.3166,1.1707,2.093,0.5
3497.87826,75.2922,1.1812,2.0837,0.51
3498.25836,74.412,1.1942,2.0753,0.52
3498.63844,75.5752,1.1971,2.0743,0.52
3499.0184999999997,78.1219,1.2088,2.0809,0.52
3499.3985399999992,81.2556,1.2158,2.0906,0.51
3499.7785599999997,84.3893,1.2236,2.0952,0.5
3500.1585599999994,87.2663,1.2237,2.0941,0.51
3500.53854,87.2656,1.2091,2.095,0.51
3500.9184999999998,85.8525,1.2091,2.0961,0.53
3501.29844,85.3361,1.2028,2.0972,0.55
3501.67836,85.7204,1.1947,2.0973,0.55
3502.0582599999993,86.1229,1.1939,2.0974,0.52
3502.4381399999997,86.659,1.1919,2.0988,0.5
3502.8179999999993,87.218,1.19,2.1024,0.48
3503.19784,87.777,1.1881,2.1024,0.48
3503.5776599999995,88.0856,1.1862,2.1042,0.49
3503.95746,87.7014,1.1843,2.1063,0.48
3504.33724,86.7864,1.1824,2.1083,0.47
3504.717,85.5118,1.1809,2.1102,0.46
3505.09674,84.6044,1.186,2.1098,0.47
3505.4764599999994,85.4404,1.1925,2.1085,0.49
3505.85616,87.6083,1.1954,2.1049,0.5
3506.2358399999994,90.757,1.1955,2.0966,0.51
3506.6155,94.3443,1.1932,2.0873,0.52
3506.9951399999995,94.5906,1.1889,2.0886,0.53
3507.37476,93.2078,1.1847,2.0956,0.52
3507.75436,91.8236,1.1814,2.0993,0.5
3508.13394,90.4392,1.1814,2.0968,0.48
3508.5135,89.3119,1.1673,2.0928,0.48
3508.8930399999995,89.4055,1.1674,2.0909,0.49
3509.27256,90.4465,1.1674,2.0883,0.5
3509.6520599999994,90.7447,1.1675,2.0876,0.49
3510.03154,88.9683,1.1676,2.0924,0.47
3510.4109999999996,87.439,1.1606,2.0972,0.46
3510.79044,86.6787,1.1536,2.0987,0.47
3511.16986,86.699,1.1537,2.1032,0.49
3511.5492599999993,85.8105,1.1538,2.1094,0.5
3511.92864,84.8057,1.1538,2.1152,0.49
3512.3079999999995,84.3461,1.1539,2.1224,0.48
3512.68734,83.549,1.1539,2.1301,0.48
3513.0666599999995,82.7911,1.1539,2.132,0.47
3513.44596,83.186,1.1682,2.1307,0.47
3513.8252399999997,84.1652,1.1606,2.1267,0.48
3514.2045000000003,88.1863,1.1703,2.1249,0.49
3514.5837399999996,92.7195,1.1714,2.1284,0.5
3514.9629599999994,94.921,1.1584,2.1333,0.51
3515.3421599999997,91.7993,1.1595,2.1383,0.5
3515.7213399999996,86.9467,1.1605,2.1433,0.48
3516.1005,83.2406,1.1616,2.1444,0.46
3516.4796399999996,84.5849,1.1626,2.1412,0.47
3516.85876,87.6165,1.1626,2.1365,0.48
3517.2378599999997,89.4531,1.1626,2.1281,0.48
3517.6169400000003,87.1442,1.1626,2.1224,0.46
3517.9959999999996,85.1562,1.1626,2.1196,0.45
