DEPT,GR,RT,RHO,NPHI
3497.4220000000005,61.8172,,,
3497.8453499999996,61.7498,0.8455,2.0306,0.4836
3498.2686999999996,63.5458,0.829,2.0654,0.4783
3498.6920499999997,65.9944,0.8247,2.0966,0.4899
3499.1153999999997,68.4277,0.8355,2.1135,0.5075
3499.5387499999997,70.0881,0.8554,2.1038,0.5084
3499.9620999999997,71.1977,0.8776,2.0889,0.5021
3500.3854499999998,72.1716,0.8956,2.0768,0.4887
3500.8088,74.0863,0.911,2.0695,0.4784
3501.23215,76.6759,0.9234,2.0664,0.4703
3501.6555,79.958,0.9352,2.0713,0.4678
3502.07885,82.8828,0.9417,2.0787,0.4706
3502.5022,83.6753,0.9437,2.0883,0.4752
3502.92555,82.617,0.9439,2.0977,0.4785
3503.3489,80.4846,0.9411,2.1052,0.4795
3503.77225,77.8696,0.9401,2.1114,0.4737
3504.1956,75.0325,0.9396,2.1128,0.4622
3504.61895,74.9471,0.9392,2.1117,0.4504
3505.0423,78.4041,0.9427,2.1117,0.4458
3505.46565,82.5096,0.9509,2.1132,0.4534
3505.889,86.3674,0.9619,2.1142,0.462
3506.31235,89.1874,0.9732,2.1142,0.4713
3506.7357,89.7804,0.9827,2.1143,0.4814
3507.15905,88.7227,0.9901,2.1144,0.4944
3507.5824000000002,86.8384,0.9953,2.1141,0.5058
3508.0057500000003,85.299,0.9983,2.1139,0.5045
3508.4291000000003,83.9659,0.9992,2.1138,0.4982
3508.8524500000003,82.9758,0.9992,2.1133,0.4935
3509.2758000000003,82.7383,0.999,2.1111,0.4919
3509.6991500000004,82.7037,0.9956,2.1082,0.4934
3510.1225000000004,82.8264,0.9926,2.1056,0.4914
3510.5458500000004,82.719,0.99,2.1043,0.4824
3510.9692000000005,82.4664,0.9888,2.1039,0.485
3511.3925500000005,82.0514,0.9882,2.1047,0.4953
3511.8158999999996,81.5179,0.9877,2.1082,0.5063
3512.2392499999996,80.9285,0.9888,2.1122,0.5076
3512.6625999999997,80.2878,0.9937,2.1167,0.5088
3513.0859499999997,79.6573,0.9993,2.1214,0.5005
3513.5092999999997,79.0541,1.0051,2.1265,0.4929
3513.9326499999997,78.3878,1.011,2.1315,0.4898
3514.3559999999998,77.6467,1.0158,2.136,0.4778
3514.77935,77.5998,1.0216,2.1392,0.4551
3515.2027,79.7612,1.0263,2.1412,0.4455
3515.62605,82.1869,1.0328,2.1407,0.4459
3516.0494,84.7275,1.0392,2.1393,0.455
3516.47275,86.2066,1.0454,2.1378,0.4671
3516.8961,86.5646,1.0502,2.1345,0.4907
3517.31945,85.5554,1.0527,2.1303,0.5055
3517.7428,83.7242,1.0565,2.1262,0.5386
3518.16615,81.8105,1.0575,2.1232,0.5553
3518.5895,80.1678,1.0578,2.1226,0.5431
3519.01285,79.1748,1.0577,2.1263,0.5325
3519.4362,79.296,1.0574,2.1308,0.523
3519.85955,79.8877,1.057,2.1326,0.5144
3520.2829,80.5607,1.0567,2.1322,0.5104
3520.70625,80.8368,1.0563,2.1313,0.5026
3521.1296,80.4552,1.0559,2.1316,0.4901
3521.5529500000002,79.8926,1.0555,2.1354,0.4883
3521.9763000000003,80.077,1.0551,2.1417,0.4904
3522.3996500000003,80.5093,1.0547,2.1435,0.4921
3522.8230000000003,80.704,1.0543,2.1414,0.4897
3523.2463500000003,80.3345,1.0528,2.1404,0.4849
3523.6697000000004,79.305,1.0519,2.1411,0.4802
3524.0930500000004,78.7011,1.0513,2.1439,0.4825
3524.5164000000004,81.3124,1.0508,2.1481,0.4853
3524.9397500000005,82.9972,1.0504,2.1481,0.4818
3525.3631000000005,83.3668,1.0485,2.144,0.4741
3525.7864499999996,82.552,1.0478,2.1377,0.4649
3526.2097999999996,81.4073,1.0473,2.1312,0.4636
3526.6331499999997,81.5825,1.0469,2.13,0.4744
3527.0564999999997,81.4327,1.0455,2.1308,0.4877
3527.4798499999997,80.7118,1.0434,2.129,0.5067
3527.9031999999997,78.6982,1.0409,2.126,0.508
3528.3265499999998,77.4922,1.0379,2.1256,0.4962
3528.7499,76.9487,1.0287,2.1258,0.4799
3529.17325,76.6399,0.9978,2.1258,0.4701
